需求名稱,需求鏈路
D1,"17,23,15,24,9"
D2,"15"
D3,"17,2,4,25"
D4,"10,7,5"
D5,"10,4,13,1,12"
D6,"20,4"
D7,"15,3,12"
D8,"4,17,20,12"
D9,"9"
D10,"4,19,9,7,12"
D11,"24,9,3"
D12,"4,20"
D13,"17,16,13,7"
D14,"21"
D15,"15,12"
D16,"7,25,16,22"
D17,"22,25"
D18,"19,7,22,25,18"
D19,"12,21,22,1"
D20,"12,15,23,19"
D21,"9,7,8,23,12"
D22,"23,17"
D23,"5,4,2,14"
D24,"10,1,4"
D25,"20,19,22"
D26,"12,9,4,13"
D27,"3,19"
D28,"19,3,11"
D29,"22,25,9"
D30,"3,16"
D31,"22,10"
D32,"5,2,19"
D33,"12,21,15,4,1"
D34,"8"
D35,"20,4,19,24"
D36,"2,10,19,12"
D37,"8,14,5,9,21"
D38,"23,17"
D39,"13"
D40,"11,4,13,21"
D41,"25,21,16,20,19"
D42,"5,2,12,3"
D43,"8,10,23"
D44,"24,7,2,19,15"
D45,"6,13,2"
D46,"5,8,22"
D47,"7,10,17,18,1"
D48,"2,17"
D49,"7,17,4,9,18"
D50,"18,21,7,15"
D51,"24,19"
D52,"19,20,10,3,4"
D53,"1,14,19,21,10"
D54,"14"
D55,"8"
D56,"5,19,8,11,3"
D57,"22"
D58,"23"
D59,"12,9"
D60,"19"
D61,"17,19"
D62,"13,20,2,1"
D63,"4,20,1"
D64,"11"
D65,"24,9"
D66,"7,14,12"
D67,"17,21,3,10,1"
D68,"19,17,2,15"
D69,"9,18"
D70,"7"
D71,"15,8,11"
D72,"23,16"
D73,"17"
D74,"20"
D75,"10"
D76,"1,11,5,13"
D77,"10"
D78,"1,17,7,19,23"
D79,"24,21"
D80,"24,4,9,16,14"
D81,"6,8,25,1,15"
D82,"1,7"
D83,"2"
D84,"1,21,2"
D85,"5,11,20"
D86,"25,10,24,18"
D87,"17,5,8,6,24"
D88,"8,24,20,14"
D89,"8,16,15,7,13"
D90,"20"
D91,"17,2,22,24,6"
D92,"11,4"
D93,"4,19,15,7,3"
D94,"21,4,10,11,16"
D95,"25,18,15,19,8"
D96,"20,22,10,2,25"
D97,"19,14,23,4"
D98,"5,2,15,13"
D99,"2,25,14,17"
D100,"14"
